ID,town,country,age,job,married,education,arrears,current_balance,housing,has_tv_package,last_contact,conn_tr,last_contact_this_campaign_day,last_contact_this_campaign_month,this_campaign,days_since_last_contact_previous_campaign,contacted_during_previous_campaign,outcome_previous_campaign,new_contract_this_campaign
79810184,Luton,UK,56,unemployed,married,secondary,no,6.6,yes,no,unknown,5,6,jun,3,-1,0,unknown,no
52630800,Manchester,UK,47,management,married,tertiary,no,0.6,no,no,unknown,4,2,jun,7,-1,0,unknown,no
19936814,Bristol,UK,56,services,divorced,secondary,no,0.72,yes,yes,cellular,4,7,may,1,357,4,failure,no
83613100,Glasgow,UK,50,blue-collar,married,unknown,no,6.05,yes,no,unknown,4,15,may,1,-1,0,unknown,no
11594394,Birmingham,UK,48,services,divorced,primary,no,-1.1,no,yes,unknown,5,19,jun,2,-1,0,unknown,no
39588931,Worthing,UK,36,unemployed,divorced,secondary,no,0.05,yes,no,cellular,5,8,jul,1,-1,0,unknown,no
80078825,Glasgow,UK,42,technician,married,secondary,no,0,no,no,cellular,3,30,jul,2,-1,0,unknown,no
90010956,Milton Keynes,UK,40,technician,married,secondary,no,1.92,no,no,cellular,3,7,aug,2,-1,0,unknown,no
83187825,Darlington,UK,35,admin.,single,secondary,no,1.82,yes,no,unknown,2,3,jun,1,-1,0,unknown,no
98606973,Sunderland,UK,38,self-employed,married,secondary,no,2.15,yes,no,cellular,1,20,nov,1,167,1,failure,no
94099145,Birmingham,UK,27,management,single,tertiary,no,129.56,yes,no,unknown,3,29,may,3,-1,0,unknown,yes
99935540,Birkenhead,UK,35,entrepreneur,married,secondary,no,29.71,no,no,cellular,3,4,may,4,164,2,failure,yes
35892677,Blackburn,UK,37,management,married,tertiary,no,35.56,no,no,cellular,4,9,nov,1,-1,0,unknown,yes
47657568,Chelmsford,UK,37,services,married,secondary,no,0.01,no,no,unknown,5,15,may,2,-1,0,unknown,no
88121649,Middlesbrough,UK,32,blue-collar,married,secondary,no,3.2,yes,yes,cellular,3,3,feb,4,-1,0,unknown,no
13676851,Cardiff,UK,33,management,married,tertiary,no,34.01,no,no,cellular,4,20,nov,1,-1,0,unknown,yes
79004615,Bristol,UK,27,blue-collar,single,secondary,no,1.81,no,no,unknown,2,13,may,1,-1,0,unknown,no
91177825,Birmingham,UK,37,management,married,tertiary,no,11.25,yes,no,unknown,4,3,jun,1,-1,0,unknown,no
23099795,Cheltenham,UK,58,retired,divorced,tertiary,no,4.99,yes,yes,cellular,4,29,jan,1,-1,0,unknown,no
76399654,Chelmsford,UK,44,technician,single,secondary,no,71.38,no,no,cellular,3,8,aug,2,-1,0,unknown,yes
49347931,Portsmouth,UK,35,management,single,tertiary,no,17.5,yes,no,cellular,4,21,apr,3,-1,0,unknown,yes
40887429,Bath,UK,18,student,single,unknown,no,1.08,no,no,cellular,2,8,sep,1,-1,0,unknown,yes
56238521,Chester,UK,30,blue-collar,divorced,secondary,yes,4.57,yes,no,unknown,1,20,jun,20,-1,0,unknown,no
21146293,Birmingham,UK,40,technician,married,secondary,no,73.13,yes,no,cellular,2,18,nov,2,182,1,failure,no
38926013,Bradford,UK,53,management,married,tertiary,no,13.56,yes,no,cellular,1,5,aug,2,93,2,failure,no
63031105,Glasgow,UK,59,admin.,married,secondary,no,37.35,no,no,cellular,1,18,mar,4,121,2,failure,yes
91358969,Eastbourne,UK,28,self-employed,married,secondary,no,-5.22,yes,yes,cellular,1,18,may,2,-1,0,unknown,yes
56855153,Coventry,UK,38,unknown,single,tertiary,no,0,no,no,cellular,5,11,sep,3,95,3,success,yes
99894542,Liverpool,UK,31,management,single,tertiary,no,0,no,no,cellular,5,25,aug,12,-1,0,unknown,no
53657882,Bournemouth,UK,39,admin.,married,primary,no,4.44,yes,no,cellular,3,8,may,2,-1,0,unknown,no
23024755,London,UK,41,blue-collar,married,primary,no,5.12,yes,no,unknown,2,6,may,2,-1,0,unknown,no
53510157,Dundee,UK,26,technician,single,secondary,no,-2.11,yes,no,unknown,2,23,may,3,-1,0,unknown,no
28590801,Cardiff,UK,51,technician,married,secondary,no,1,no,no,cellular,4,2,feb,2,-1,0,unknown,yes
53573371,County Down,UK,50,admin.,divorced,secondary,no,0.81,no,yes,cellular,3,21,nov,1,-1,0,unknown,no
44067604,Liverpool,UK,33,management,single,tertiary,no,0.3,yes,no,cellular,1,22,jul,1,-1,0,unknown,yes
40352223,Exeter,UK,55,services,married,secondary,no,2.83,yes,no,unknown,1,19,may,1,-1,0,unknown,no
55519056,Dundee,UK,53,management,married,unknown,no,5.27,yes,no,cellular,3,23,jul,3,-1,0,unknown,no
46473529,Manchester,UK,58,technician,married,secondary,no,33.99,no,no,telephone,1,30,nov,2,188,8,success,yes
41578010,Cambridge,UK,33,management,married,tertiary,no,18.08,no,no,cellular,2,28,dec,3,-1,0,unknown,yes
30058678,Derby,UK,42,blue-collar,married,unknown,no,1.49,yes,no,telephone,3,23,jul,3,-1,0,unknown,no
40559947,Derby,UK,29,unemployed,single,unknown,no,0.67,no,no,cellular,3,28,jan,2,-1,0,unknown,no
15106794,Swindon,UK,55,housemaid,married,primary,no,36.8,no,no,unknown,2,16,jun,1,-1,0,unknown,no
82295363,Stockport,UK,31,self-employed,single,secondary,no,7.62,no,no,cellular,3,11,aug,3,-1,0,unknown,no
98278895,London,UK,33,management,married,tertiary,no,10.47,no,no,cellular,2,8,aug,4,-1,0,unknown,yes
32117161,Poole,UK,44,services,divorced,secondary,no,2.06,yes,no,cellular,1,14,may,1,365,1,failure,no
52015525,London,UK,30,services,single,secondary,no,-1.14,yes,no,cellular,3,21,jul,2,-1,0,unknown,no
46613360,Edinburgh,UK,46,admin.,divorced,secondary,no,-6.37,yes,no,cellular,1,17,nov,1,-1,0,unknown,no
55368239,Worthing,UK,57,management,married,primary,no,25.38,no,yes,telephone,4,17,jul,2,-1,0,unknown,no
36966240,Glasgow,UK,46,admin.,married,secondary,no,5.26,no,yes,cellular,3,31,jul,3,-1,0,unknown,no
17046065,Bristol,UK,75,retired,divorced,secondary,no,21.99,no,no,telephone,1,13,nov,1,-1,0,unknown,no
49991359,Eastbourne,UK,32,blue-collar,single,tertiary,no,30.14,yes,no,cellular,2,7,may,2,-1,0,unknown,no
87527336,Hartlepool,UK,31,student,single,tertiary,no,3.07,no,no,cellular,1,20,nov,2,-1,0,unknown,no
17341276,Glasgow,UK,65,retired,divorced,secondary,no,7.44,no,no,cellular,2,5,jul,1,-1,0,unknown,no
98163800,Manchester,UK,43,unemployed,married,secondary,no,2.1,yes,no,unknown,4,12,may,5,-1,0,unknown,no
91691245,Liverpool,UK,28,management,single,secondary,no,-5.13,no,yes,cellular,2,29,jul,8,-1,0,unknown,no
74315942,Gateshead,UK,54,technician,married,secondary,no,101.85,no,no,cellular,1,12,feb,1,186,3,success,yes
25480212,Rochdale,UK,37,self-employed,married,secondary,no,7.44,yes,yes,cellular,4,21,aug,3,-1,0,unknown,no
15816789,Reading,UK,30,admin.,single,secondary,no,5.23,no,yes,cellular,5,12,jun,3,101,1,success,no
51159206,Hemel Hempstead,UK,48,housemaid,married,secondary,no,0,no,no,cellular,5,28,may,5,-1,0,unknown,yes
27401349,Wakefield,UK,41,services,married,unknown,yes,-0.01,no,yes,cellular,1,30,jul,4,-1,0,unknown,yes
92082396,Belfast,UK,29,admin.,single,tertiary,no,5.14,no,no,cellular,4,2,feb,1,-1,0,unknown,no
39347802,Birmingham,UK,73,retired,married,tertiary,no,18.43,no,no,cellular,1,11,sep,2,-1,0,unknown,yes
98121298,Worcester,UK,55,management,married,unknown,no,1.79,no,no,unknown,4,19,jun,1,-1,0,unknown,no
49382703,Newport,UK,48,self-employed,single,unknown,no,0,no,no,unknown,4,18,jun,1,-1,0,unknown,no
52570873,Manchester,UK,78,unknown,married,unknown,no,22.35,no,no,telephone,4,14,apr,3,-1,0,unknown,yes
91928500,Warrington,UK,37,management,single,tertiary,no,3.4,no,no,cellular,4,11,aug,4,-1,0,unknown,no
33901896,London,UK,75,retired,married,primary,no,14.13,no,no,cellular,4,1,sep,2,188,2,success,yes
60183760,Bristol,UK,38,technician,married,secondary,no,9.76,yes,no,cellular,4,14,jul,3,-1,0,unknown,yes
38609633,Liverpool,UK,54,entrepreneur,married,secondary,no,0,no,no,unknown,1,9,jun,1,-1,0,unknown,no
75656528,Newport,UK,41,management,married,tertiary,no,0,yes,no,unknown,4,13,may,1,-1,0,unknown,no
83208583,Rochdale,UK,55,retired,married,secondary,no,14.31,no,yes,cellular,1,28,jan,1,-1,0,unknown,no
88972861,Sutton Coldfield,UK,48,admin.,married,secondary,no,0.5,no,yes,cellular,2,21,oct,1,-1,0,unknown,yes
50694103,Edinburgh,UK,30,management,single,tertiary,no,0.02,yes,yes,cellular,2,25,jul,8,-1,0,unknown,yes
15833880,Birmingham,UK,40,services,single,secondary,no,3.16,no,no,unknown,3,11,jun,5,-1,0,unknown,no
48041343,Solihull,UK,36,admin.,divorced,secondary,no,2.46,yes,no,unknown,2,16,may,2,-1,0,unknown,no
60392260,Sutton Coldfield,UK,48,admin.,divorced,secondary,no,11.8,no,no,cellular,1,27,jan,1,238,3,other,yes
86952298,Telford,UK,34,services,single,secondary,no,-7.01,yes,no,cellular,1,11,may,2,-1,0,unknown,yes
94012435,Bristol,UK,25,admin.,single,secondary,no,4.83,no,yes,cellular,5,3,feb,1,-1,0,unknown,yes
85650820,Northampton,UK,54,blue-collar,married,secondary,no,16.36,no,no,telephone,1,20,jul,2,-1,0,unknown,yes
33977480,Portsmouth,UK,28,blue-collar,married,primary,no,1.15,yes,no,unknown,3,28,may,4,-1,0,unknown,no
73898922,Eastbourne,UK,34,technician,married,secondary,no,5.63,yes,yes,cellular,3,29,aug,15,-1,0,unknown,no
85397643,Exeter,UK,35,entrepreneur,single,tertiary,no,18,yes,no,unknown,4,5,jun,1,-1,0,unknown,no
32441109,Sale,UK,31,services,married,secondary,no,4.14,yes,no,unknown,3,7,may,1,-1,0,unknown,no
40149065,Chesterfield,UK,40,blue-collar,married,secondary,no,-4.38,no,no,cellular,2,11,may,1,-1,0,unknown,yes
78892234,London,UK,57,retired,married,primary,no,3.33,no,no,unknown,5,22,aug,2,-1,0,unknown,no
28408571,Brighton,UK,41,technician,married,tertiary,no,0.67,yes,no,cellular,3,19,nov,1,-1,0,unknown,yes
28464338,Stevenage,UK,32,technician,single,tertiary,no,46.65,yes,no,unknown,1,21,may,2,-1,0,unknown,yes
89121121,Leicester,UK,36,unemployed,single,tertiary,no,2.21,no,no,cellular,5,3,feb,4,-1,0,unknown,no
95886371,Worcester,UK,32,technician,married,secondary,no,15.47,no,no,cellular,5,26,oct,1,805,4,other,yes
34698004,Birmingham,UK,34,blue-collar,married,unknown,no,3.91,yes,yes,unknown,2,23,may,2,-1,0,unknown,no
73435051,Glasgow,UK,49,management,married,tertiary,no,225.2,no,no,cellular,4,21,nov,9,-1,0,unknown,yes
74869781,Glasgow,UK,65,retired,married,primary,no,17.6,no,no,cellular,2,18,aug,4,-1,0,unknown,yes
55392051,Manchester,UK,38,entrepreneur,married,primary,no,3.5,yes,no,cellular,1,8,may,1,-1,0,unknown,no
72116574,Huddersfield,UK,55,technician,married,secondary,no,69.58,yes,yes,unknown,5,13,may,2,-1,0,unknown,no
63468239,Bristol,UK,53,entrepreneur,married,primary,no,0.27,yes,no,telephone,4,10,sep,3,-1,0,unknown,yes
63220802,York,UK,57,management,divorced,tertiary,no,25.49,no,no,cellular,2,17,jul,2,-1,0,unknown,no
69973015,London,UK,57,unemployed,married,primary,no,27.43,no,no,cellular,2,29,jan,1,-1,0,unknown,no
81640461,Sunderland,UK,38,technician,divorced,tertiary,no,18.05,no,no,unknown,4,9,jun,2,-1,0,unknown,yes
76812974,Newcastle upon Tyne,UK,50,entrepreneur,married,primary,no,4.31,yes,no,cellular,1,20,apr,5,-1,0,unknown,no
81471897,Oxford,UK,35,management,single,tertiary,no,2.43,yes,no,unknown,4,12,may,3,-1,0,unknown,no
80827423,Bournemouth,UK,30,management,single,secondary,no,1.35,no,no,cellular,4,14,aug,2,-1,0,unknown,no
33198205,Preston,UK,29,technician,single,secondary,no,1.13,no,no,cellular,2,12,feb,2,183,4,success,yes
57077532,Gloucester,UK,35,self-employed,married,secondary,no,5.24,yes,no,cellular,3,21,nov,4,-1,0,unknown,no
29674007,Huddersfield,UK,48,management,divorced,tertiary,no,1.74,no,no,cellular,5,6,aug,2,-1,0,unknown,no
46715747,London,UK,69,retired,married,primary,no,3.24,no,no,cellular,2,12,aug,1,189,4,success,no
68650567,Manchester,UK,50,housemaid,married,secondary,no,3.88,no,no,cellular,5,8,jun,2,89,2,success,no
51248003,Sheffield,UK,45,unemployed,married,secondary,no,8.91,yes,no,unknown,4,7,jan,1,-1,0,unknown,yes
45970767,Southend-on-Sea,UK,76,self-employed,married,unknown,no,49.84,no,no,telephone,2,28,apr,1,182,1,success,yes
23371750,Glasgow,UK,60,unemployed,married,primary,no,0,no,no,cellular,1,22,jul,1,412,1,other,yes
45048161,Raleigh,UK,22,student,single,tertiary,no,6.91,no,no,cellular,1,30,nov,5,103,1,success,yes
12073087,Swansea,UK,37,unemployed,single,tertiary,no,10.32,no,no,telephone,3,4,feb,1,-1,0,unknown,no
78552925,Poole,UK,30,management,married,tertiary,no,1.34,yes,no,unknown,1,19,may,1,-1,0,unknown,no
76039919,London,UK,37,services,married,secondary,no,16.94,yes,yes,cellular,4,29,jan,2,251,6,failure,no
98647985,Hartlepool,UK,39,blue-collar,married,primary,no,0.7,no,no,unknown,5,8,may,1,-1,0,unknown,yes
69061191,Basingstoke,UK,29,services,single,secondary,no,6.95,no,no,unknown,1,3,jul,1,-1,0,unknown,no
45235451,Peterborough,UK,39,blue-collar,single,secondary,no,0,no,no,cellular,2,22,jul,4,-1,0,unknown,yes
69370407,Aberdeen,UK,34,entrepreneur,divorced,tertiary,no,2.62,no,no,cellular,5,20,nov,1,-1,0,unknown,no
52148602,Bath,UK,60,technician,married,secondary,no,0,no,no,cellular,2,25,may,4,-1,0,unknown,yes
78388578,Watford,UK,36,management,single,tertiary,no,38.5,yes,no,cellular,1,12,aug,2,100,4,failure,yes
47329959,Gillingham,UK,35,management,married,tertiary,no,1.05,yes,no,cellular,2,6,may,1,365,3,failure,no
49861533,Sheffield,UK,38,entrepreneur,married,secondary,no,21.39,yes,no,unknown,4,9,may,1,-1,0,unknown,no
84269737,Worthing,UK,36,blue-collar,single,primary,no,0.79,no,no,unknown,4,20,jun,3,-1,0,unknown,no
42931431,Birmingham,UK,35,management,married,secondary,no,7.24,yes,no,cellular,5,14,jul,2,415,1,failure,yes
10297975,St Albans,UK,36,admin.,married,tertiary,no,32.21,no,no,cellular,1,4,may,11,-1,0,unknown,yes
10548586,Southampton,UK,42,entrepreneur,married,unknown,no,2.06,yes,no,cellular,3,30,jul,2,-1,0,unknown,yes
36981890,Newport,UK,51,management,married,unknown,no,17.08,no,no,telephone,1,29,jan,3,-1,0,unknown,no
66326210,Warrington,UK,31,technician,divorced,secondary,no,2.68,no,no,unknown,3,16,may,2,-1,0,unknown,no
99748208,Maidstone,UK,40,blue-collar,married,primary,no,0.34,yes,no,cellular,5,6,may,2,344,1,failure,no
69270989,Bristol,UK,45,services,married,unknown,no,83.19,no,no,cellular,1,15,jun,2,-1,0,unknown,no
60604402,Darlington,UK,35,blue-collar,married,primary,no,43.66,yes,no,unknown,2,28,may,3,-1,0,unknown,no
31782320,London,UK,43,management,single,tertiary,no,4.83,no,no,cellular,1,19,aug,6,-1,0,unknown,yes
78907770,Dundee,UK,30,blue-collar,married,secondary,no,5.01,yes,yes,unknown,1,27,may,1,-1,0,unknown,no
68524285,Preston,UK,46,management,married,unknown,no,24.66,no,no,telephone,3,1,apr,3,370,1,failure,yes
57267982,Sunderland,UK,31,admin.,single,secondary,no,0,no,no,cellular,1,17,apr,3,-1,0,unknown,yes
38043175,St Helens,UK,27,admin.,single,secondary,no,0.03,yes,no,cellular,4,8,may,2,-1,0,unknown,no
81624665,Belfast,UK,33,management,married,tertiary,no,0,yes,no,cellular,1,17,apr,1,-1,0,unknown,yes
29808325,Cambridge,UK,32,management,divorced,tertiary,no,2.22,no,yes,cellular,3,15,jul,4,-1,0,unknown,yes
68552309,County Down,UK,32,blue-collar,married,secondary,no,31.66,yes,no,cellular,3,20,nov,3,-1,0,unknown,no
58162938,Bournemouth,UK,40,blue-collar,single,secondary,no,10.66,yes,no,unknown,2,21,may,1,-1,0,unknown,no
84697060,Gillingham,UK,57,management,married,tertiary,no,14.1,yes,no,cellular,2,10,jul,1,-1,0,unknown,no
72783831,Glasgow,UK,41,technician,single,secondary,no,7.69,no,yes,cellular,5,20,nov,4,98,4,other,no
21199580,Darlington,UK,33,management,single,tertiary,no,2.24,no,no,cellular,1,8,mar,2,-1,0,unknown,yes
59740912,Newport,UK,47,management,divorced,tertiary,no,120.26,yes,no,telephone,1,27,oct,1,-1,0,unknown,yes
81894406,Peterborough,UK,36,admin.,married,secondary,no,19.54,yes,yes,cellular,3,20,nov,2,174,3,failure,no
32327266,London,UK,43,management,married,tertiary,no,2.4,yes,no,cellular,3,16,apr,1,-1,0,unknown,yes
87198571,Poole,UK,28,admin.,single,secondary,no,7.62,no,no,cellular,5,18,sep,3,-1,0,unknown,yes
86610765,Coventry,UK,44,blue-collar,married,unknown,no,1.46,yes,no,unknown,5,15,may,1,-1,0,unknown,yes
40887341,Manchester,UK,51,admin.,single,secondary,no,7.26,yes,no,cellular,1,27,apr,8,-1,0,unknown,yes
89797505,Woking,UK,28,technician,single,tertiary,no,118.62,no,no,cellular,5,21,oct,2,238,13,other,yes
72301896,Southampton,UK,49,management,married,tertiary,no,18.08,yes,no,cellular,5,1,jun,1,95,1,success,yes
22830768,Milton Keynes,UK,37,management,married,tertiary,no,7.89,yes,yes,cellular,5,11,aug,1,190,2,other,no
92852596,Bristol,UK,60,services,divorced,secondary,no,7.58,no,no,cellular,5,3,feb,1,-1,0,unknown,no
11578857,Edinburgh,UK,43,admin.,married,secondary,no,3.88,yes,no,cellular,1,19,nov,2,-1,0,unknown,no
44208494,Sheffield,UK,32,student,single,tertiary,no,9.22,no,no,cellular,5,18,oct,2,-1,0,unknown,no
57587806,High Wycombe,UK,38,management,married,tertiary,no,6.13,no,no,cellular,2,30,apr,1,86,1,success,yes
14181199,Chesterfield,UK,42,management,married,unknown,no,8.49,yes,no,cellular,1,8,oct,1,321,1,other,yes
75705357,Blackpool,UK,35,admin.,single,secondary,no,-0.32,no,yes,cellular,2,9,feb,4,182,5,failure,yes
65064050,Chelmsford,UK,47,blue-collar,married,primary,no,3.04,yes,no,unknown,2,12,may,1,-1,0,unknown,no
56693095,Slough,UK,33,management,single,secondary,no,0,no,no,unknown,1,20,may,2,-1,0,unknown,no
20913805,Reading,UK,33,management,single,tertiary,no,8.16,yes,no,cellular,4,11,oct,2,503,2,failure,yes
25575915,Grimsby,UK,40,services,married,secondary,no,0,yes,no,cellular,2,2,jun,1,28,3,failure,no
86553185,Solihull,UK,36,management,single,tertiary,no,5.38,no,no,cellular,3,23,jun,1,183,5,success,yes
39579408,Warrington,UK,30,admin.,married,secondary,no,8.73,yes,no,unknown,5,29,may,3,-1,0,unknown,yes
48640546,London,UK,32,blue-collar,single,secondary,no,4.35,yes,no,unknown,1,21,may,2,-1,0,unknown,no
34915260,Woking,UK,29,blue-collar,married,secondary,no,33.1,no,no,cellular,5,1,sep,1,91,4,failure,no
19395528,Ipswich,UK,34,management,single,tertiary,no,7.47,no,no,cellular,3,31,aug,2,98,1,failure,no
78290462,London,UK,37,technician,married,unknown,no,1.89,no,no,cellular,4,16,jun,2,-1,0,unknown,yes
20680853,Stoke-on-Trent,UK,37,blue-collar,married,primary,no,7.08,yes,no,telephone,3,2,feb,1,-1,0,unknown,no
25728137,Portsmouth,UK,38,management,divorced,tertiary,no,5.47,yes,no,unknown,3,14,may,4,-1,0,unknown,no
21196449,County Down,UK,31,blue-collar,single,secondary,no,44.15,yes,no,unknown,1,2,jun,1,-1,0,unknown,no
77711829,London,UK,38,services,married,primary,no,0,no,no,cellular,2,28,jul,3,-1,0,unknown,no
62762492,Leicester,UK,60,technician,married,primary,no,0.65,yes,no,unknown,3,9,may,2,-1,0,unknown,yes
86844667,Poole,UK,35,blue-collar,married,secondary,no,-4.61,no,no,unknown,2,23,may,1,-1,0,unknown,no
87703499,Birmingham,UK,36,blue-collar,married,primary,no,1.06,yes,no,cellular,2,29,jul,13,-1,0,unknown,no
32595739,Southampton,UK,37,management,single,unknown,no,7.15,yes,no,unknown,3,20,may,2,-1,0,unknown,no
69181557,High Wycombe,UK,48,blue-collar,married,primary,no,51.54,yes,no,unknown,4,14,may,1,-1,0,unknown,no
98297158,London,UK,41,self-employed,married,secondary,no,3.05,yes,no,cellular,5,13,may,2,-1,0,unknown,no
59226311,Southend-on-Sea,UK,28,student,single,secondary,no,0.28,no,no,cellular,5,29,jan,2,-1,0,unknown,no
91269346,Basildon,UK,49,management,married,tertiary,no,32.37,yes,no,unknown,3,5,may,3,-1,0,unknown,no
70959258,Maidstone,UK,51,management,married,tertiary,no,4.69,no,no,cellular,2,15,apr,1,181,2,success,yes
55841637,Derby,UK,45,management,married,secondary,no,4.46,no,no,cellular,3,6,aug,3,-1,0,unknown,yes
60910038,Brighton,UK,47,technician,divorced,secondary,no,2.36,no,no,cellular,5,18,aug,4,-1,0,unknown,no
15002269,High Wycombe,UK,47,services,married,unknown,no,48.22,yes,no,unknown,2,21,may,5,-1,0,unknown,no
68308577,Gloucester,UK,53,housemaid,married,unknown,no,0,no,no,cellular,2,22,aug,1,-1,0,unknown,no
77974120,Hastings,UK,30,technician,single,primary,no,27.31,yes,no,cellular,3,14,apr,1,-1,0,unknown,no
89042753,London,UK,38,management,single,tertiary,no,31.41,no,no,cellular,5,9,nov,4,189,2,success,yes
23575190,Hemel Hempstead,UK,33,technician,married,tertiary,no,169.92,yes,no,unknown,3,29,may,1,-1,0,unknown,no
61600963,Darlington,UK,34,management,married,tertiary,no,36.96,no,no,cellular,5,8,apr,2,160,5,other,yes
18723467,Chelmsford,UK,47,admin.,married,secondary,no,8.29,yes,yes,unknown,2,14,may,1,-1,0,unknown,no
65857468,Kingston upon Hull,UK,49,blue-collar,married,primary,no,2.39,no,no,cellular,5,22,aug,3,-1,0,unknown,no
24562332,Birmingham,UK,57,management,married,tertiary,no,3.75,no,no,cellular,3,21,oct,1,-1,0,unknown,yes
62250363,London,UK,26,blue-collar,single,secondary,no,-0.29,yes,no,cellular,4,10,jul,4,-1,0,unknown,yes
65548840,Manchester,UK,60,retired,married,secondary,no,0.07,no,yes,cellular,2,18,aug,5,-1,0,unknown,no
78817093,Crawley,UK,34,admin.,divorced,secondary,no,6.61,yes,no,cellular,5,5,aug,2,183,10,failure,yes
65078630,Edinburgh,UK,59,retired,divorced,unknown,no,-0.49,yes,no,unknown,1,13,may,2,-1,0,unknown,no
50194044,Bournemouth,UK,55,admin.,married,secondary,no,6.02,no,no,cellular,4,1,jun,3,90,2,success,yes
65223657,Liverpool,UK,52,management,married,primary,no,0,no,no,unknown,3,5,jun,3,-1,0,unknown,no
33883477,Manchester,UK,38,admin.,single,secondary,no,1,yes,no,unknown,3,7,may,1,-1,0,unknown,yes
65027093,Poole,UK,31,management,single,tertiary,no,1.53,no,no,cellular,1,9,feb,3,-1,0,unknown,no
95454784,Sheffield,UK,38,technician,married,unknown,no,5.73,yes,no,unknown,3,6,may,1,-1,0,unknown,no
87076578,Coventry,UK,29,admin.,single,secondary,no,-4.98,yes,no,cellular,1,2,feb,3,227,14,failure,no
90874111,Southport,UK,40,services,married,secondary,no,4.46,yes,no,unknown,3,16,may,1,-1,0,unknown,yes
82294956,Bournemouth,UK,40,management,married,secondary,no,4.06,yes,no,unknown,2,12,jun,2,-1,0,unknown,yes
87074266,Chelmsford,UK,40,technician,married,secondary,no,22.66,no,no,cellular,1,26,may,3,89,7,other,yes
75582983,Maidstone,UK,33,unemployed,married,secondary,no,12.11,no,no,cellular,1,7,aug,1,-1,0,unknown,yes
71822522,Birmingham,UK,33,management,married,tertiary,no,14.12,yes,no,unknown,4,19,aug,1,-1,0,unknown,yes
66432411,Lincoln,UK,45,unemployed,divorced,secondary,no,-0.44,yes,no,cellular,3,7,jul,2,-1,0,unknown,no
45938161,Sunderland,UK,35,management,single,tertiary,no,6.71,yes,no,cellular,5,10,mar,1,-1,0,unknown,yes
